RSN,Vs30,EQID,Magnitude,Rjb,Lowest Usable Freq - Ave. Component (Hz),Tp,Duration_5_75,Duration_5_95
182,210.51,50.0,6.53,0.56,0.075,4.375,2.0660797351450704,5.821512791620201
183,206.08,50.0,6.53,3.86,0.038,-999.0,2.935028193430155,6.290904523494939
184,202.26,50.0,6.53,5.09,0.029,6.265,3.359101378516375,6.78573063899354
185,202.89,50.0,6.53,5.35,0.075,4.823,4.70011705858609,12.31718845552705
186,212.0,50.0,6.53,35.64,0.075,-999.0,10.27737412355186,24.06493775537715
187,348.69,50.0,6.53,12.69,0.063,-999.0,6.530813243672965,17.7570590434736
188,316.64,50.0,6.53,30.33,0.15,-999.0,6.086308281076841,10.8100480659823
189,259.59,50.0,6.53,9.64,0.313,-999.0,5.57266801782891,9.513990368851996
190,362.38,50.0,6.53,24.61,0.125,-999.0,4.238442269856785,9.1309097942455
191,242.05,50.0,6.53,31.92,0.113,-999.0,9.710197593857234,31.951551987203253
192,193.67,50.0,6.53,14.75,0.063,-999.0,13.35850855530375,25.15757589301915
193,223.03,51.0,5.01,10.83,0.75,-999.0,3.912849675654225,11.0855498323709
194,208.71,51.0,5.01,24.26,1.25,-999.0,2.121677624635714,4.79711989160794
195,231.23,51.0,5.01,11.17,0.538,-999.0,2.6535426733236993,10.38743952660449
196,242.05,51.0,5.01,49.4,2.5,-999.0,2.783304195351585,11.3811312094026
197,237.33,51.0,5.01,23.76,0.75,-999.0,1.360927209189845,5.026756030174405
198,202.85,51.0,5.01,10.73,0.625,-999.0,4.312349314738761,5.890482934695235
199,196.25,51.0,5.01,13.61,0.875,-999.0,0.7732746226162235,3.75488753970549
200,188.78,51.0,5.01,17.32,1.0,-999.0,0.988152103606969,4.48452483958001
201,162.94,51.0,5.01,14.54,0.538,-999.0,0.3376019451028785,5.0107683171474555
202,208.91,51.0,5.01,9.69,0.75,-999.0,0.6245261974776245,6.980888947799795
203,205.63,51.0,5.01,8.56,0.5,-999.0,0.6326920746670155,6.71694795398226
204,203.22,51.0,5.01,7.4,0.625,-999.0,0.7859672470554585,4.315388420359355
205,210.51,51.0,5.01,7.32,0.75,-999.0,0.5325596727050765,5.65703628567302
206,206.08,51.0,5.01,8.18,0.625,-999.0,1.085474538890687,4.02765701086186
207,202.26,51.0,5.01,7.87,1.0,-999.0,1.87160345885384,7.198285353236345
208,202.89,51.0,5.01,7.69,0.625,-999.0,0.6870148951925935,6.358059546415375
209,193.67,52.0,5.62,9.39,0.088,-999.0,4.96127127580061,12.9208642456033
210,517.06,53.0,5.8,29.19,0.25,-999.0,3.01191152539382,9.58691453666119
211,304.68,53.0,5.8,13.38,0.225,-999.0,9.876089189562245,22.056321294969152
